num,festival,section,pages,title,title_eng,director,country,year,running_time,grade,trailer_url,tag,program_note
1,Bucheon,개막작,https://www.bifan.kr/program/program_view.asp?pk_seq=8001&sc_category_seq=8001&sc_num=1&actEvent=view,그를 찾아서,About a Hero,피오트르 비니에비츠,"USA, Denmark",,85min,15+,https://youtu.be/pZEXGcQzH3c,범죄/누아르,"영화는 독일의 영화감독 베르너 헤어조크가 ""4,500년 후에도 컴퓨터는 내 영화만큼 훌륭한 영화를 만들 수 없을 것이다""라고 남긴 말에서 시작된다. 피오트르 감독은 어쩌면 AI 기술과 가장 대척점에 있을 헤어조크 감독의 영화 시나리오를 AI에 학습시켰고, AI가 창작한 시나리오를 바탕으로 이 영화를 완성했다. 영화는 가상의 독일 도시에서 발생한 클레리의 미스터리한 죽음을 중심으로 전개된다. 그리고 ‘헤어조크’를 연상케 하는 인물이 나레이션을 맡아 이야기를 이끄는 다큐멘터리 형식을 빌리지만, 묘하게 실제와는 어긋난 인물로 이를 통해 AI 창작물의 경계를 실험적으로 탐구한다. 또한, 클레리의 죽음을 추적하는 과정에서 드러나는 주변 인물들의 감정은 인간의 복잡성과 기술적 재현 사이의 간극을 상징적으로 부각시킨다. <그를 찾아서>는 인터뷰, 허구, 실제 배우의 연기 등을 혼합해 장르의 경계를 해체하면서, AI 시대의 예술 창작의 의미와 윤리, 그리고 인간 고유성에 대해 근본적인 질문을 던진다. AI 기술이 점차 주도하는 오늘날의 창작 환경 속에서 인간성과 기술의 균형에 대해 심도있게 성찰하는 작품을 선정함으로써, AI 영화 시대를 선도하는 부천국제판타스틱영화제의 균형 감각과 지향점을 다시금 분명히 드러낸다. (김관희)"
2,Bucheon,폐막작,https://www.bifan.kr/program/program_view.asp?pk_seq=8002&sc_category_seq=8002&sc_num=1&actEvent=view,단골식당,The Go-to Restaurant,한제이,Korea,2025,94min,G,https://youtu.be/o36C9JQT0GI,"감동, 가족","강남에서 일타 영어강사로 잘나가는 미원은 밤낮없이 일에 몰두하는 전형적인 워커홀릭이다. 한편, 조용하고 정겨운 동네에서 백반집을 운영하는 그녀의 엄마는 이웃들을 세심하게 챙기며 따뜻한 정을 나누는 인물이다. 그러던 어느 날, 미원의 고향에 옛 친구 기용이 성인 PC방을 열고 미원의 엄마는 갑작스럽게 자취를 감춘다. 오랜만에 고향을 찾은 미원은 엄마의 행방을 쫓기 위해 동네 사람들과 힘을 모으고, 그 과정에서 자신도 몰랐던 엄마의 삶을 하나씩 알게 된다. 엄마의 흔적을 따라가며 미원과 이웃들은 마을에 감춰진 비밀과 마주하게 된다. '엄마의 실종'이라는 묵직한 사건이 중심에 있지만 이야기는 '코지 미스터리' 형식을 취하며 가볍고 따뜻한 분위기 속에서 전개된다. 부모의 한결같은 사랑을 당연하게 여겨온 자식의 시선을 돌아보게 하며 그 고마움을 다시금 일깨운다. 동시에 개인주의가 만연한 현대 사회에서 타인과의 소통, 믿음, 공동체의 가치를 함께 조명한다. 장르적 완성도에 따뜻한 메시지를 더한 이 작품은 전 세대가 함께 공감하고 즐길 수 있는 재미와 감동을 전한다. 주현영, 김미경을 비롯한 배우들의 탄탄한 연기도 빼놓을 수 없는 감상 포인트이다. (이정엽)"
3,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8003&sc_category_seq=8017&sc_num=1&actEvent=view,96분,96 Minutes,홍 즈쉬엔,Taiwan,2025,118min,12+,https://youtu.be/G-xBQ9iHhcs,"액션, 스릴러, 범죄/누아르, 미남, 미녀","타이베이에서 가오슝까지 단 96분 만에 도달하는 고속열차. 그 열차에 전직 폭탄 처리반 장교 캉런과 그의 약혼녀가 타고 있다. 그들은 3년 전의 대형 쇼핑몰 폭발 사고 피해자 추도식에 참석한 뒤 돌아가는 중이다. 그 사건에서 모두를 구하지 못했다는 죄책감에 캉런은 일을 그만두었고 복귀하라는 상관의 요청도 거절해 왔다. 하지만 그들이 탄 열차에 폭탄이 설치되어 있다는 경고를 접하고 멈출 수 없는 속도로 질주하는 열차에서 그는 다시 폭탄과 맞서야 하는 상황에 마주한다. 제목 그대로 영화는 실시간으로 카운트다운되는 96분의 시간 안에 벌어지는 긴박한 전개를 몰입감 있게 펼쳐낸다. 한정된 공간 안에서 벌어지는 숨 막히는 상황, 캉런의 고통스러운 과거와 내면의 균열 그리고 다양한 승객들의 사연이 더해지면 긴장감은 배가 된다. 임백굉, 송운화 등 대만 대표 배우들의 밀도 있는 연기는 몰입도를 높이며 빛을 발한다. 폭탄보다 더 두려운 것은 어쩌면 인간 안에 감춰진 악의가 아닐까. (이정엽)"
4,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8004&sc_category_seq=8017&sc_num=1&actEvent=view,하늘나라로 가요,Cielo,알베르토 시아마,UK,2025,108min,15+,https://youtu.be/dsE3alIJqaU,"사후세계, 감동, 가족, 매직, 성장영화","여덟 살 소녀 산타는 다정한 엄마와 학대를 일삼는 아빠 사이에서 살아간다. 어느 날 노란 물고기를 삼킨 그녀는 엄마를 고통에서 해방시키기 위해 '하늘나라'로의 여정을 결심한다. 폐차 직전의 낡은 트럭을 기묘한 늙은 신부에게서 산 산타는, 사막 끝에 천국이 있다고 믿으며 관 속에 누운 엄마와 함께 길을 떠난다. 이 여정에는 여성 레슬러들로 가득한 버스, 사랑에 빠진 경찰관들, 그리고 현실과 환상을 넘나드는 기묘한 사건들이 함께한다. 볼리비아 사막의 이국적인 풍광을 배경으로 한 알베르토 시아마 감독의 <하늘나라로 가요>는 환상과 현실이 절묘하게 어우러진 판타지 드라마다. 동화적인 상상력과 생생한 리얼리즘이 결합된 이 작품은 삶과 죽음, 자유와 해방이라는 무거운 주제를 어린 소녀의 시선을 통해 섬세하게 풀어낸다. 주인공 산타 역을 맡은 페르난다 구티에레즈 아란다는 눈부신 연기력으로 관객을 이야기 속으로 깊이 끌어들인다. (남종석)"
5,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8005&sc_category_seq=8017&sc_num=1&actEvent=view,허니 번치,Honey Bunch,"마들렌 심즈 퓨어, 더스티 맨치넬리",Canada,2025,113min,15+,,"로맨스, 블랙 코미디, 스릴러","사고로 오랫동안 혼수상태였다가 깨어난 다이애나는 여전한 후유증으로 고생하던 중, 자상한 남편 호머와 함께 대체의학으로 완쾌를 가능케 한다는 트레핀 박사의 병원에 입소한다. 평범하지 않은 강도 높은 치료가 이어지면서 다이애나는 어딘가 이상한 느낌을 갖기 시작한다. 그녀는 환영을 보기도 하고, 왠지 내가 아닌 낯선 이가 된 것 같기도 하다. 무엇보다 점점 달라지는 호머의 태도가 낯설기만 하다. 그녀가 모르는 어떤 비밀이 이 병원 안에 도사리고 있는 걸까? <허니 번치>는 25회 BIFAN 상영작인 <죄의 근원> 이후 마들렌 심즈 퓨어와 더스티 맨치넬리 듀오가 4년 만에 선보인 두 번째 장편이다. 70년대 고딕 호러를 세밀하게 복원하는 시청각적 스타일은 <쳐다보지 마라>의 애잔한 낭만성까지 독특하게 담아내며 21세기 보디 호러의 또 다른 영역을 야심 차게 제시한다. 올해 BIFAN의 또 다른 상영작인 <데드 러버>의 감독/주연을 맡기도 한 다이애나 역의 그레이스 글로위키는 발군의 연기를 보여준다. (박진형)"
6,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8006&sc_category_seq=8017&sc_num=1&actEvent=view,뉴 그룹,New Group,시모츠 유타,Japan,2025,82min,15+,,스쿨걸,"행복해 보이지만 불안정한 가정에서 자란 여고생 '아이'는 장래에 대한 뚜렷한 계획도, 자신의 의견도 확실치 않다. 그러던 중 자신과 정반대의 성격을 지닌 전학생 '유'에게 관심을 갖게 된다. 그러던 어느 날, 학교 운동장에서 인간 피라미드가 만들어지고 선생님들은 학생들에게 참여를 강요한다. 아이와 유는 이 강압적인 분위기에 불편함을 느끼며 점차 이상한 기운을 감지하지만 그들을 둘러싼 현실은 점점 더 기괴하고 불안하게 뒤틀려간다. 이 작품은 현대 사회 전반에 퍼진 지나친 개인주의와 억압적인 집단주의라는 상반된 흐름 속에서 태어난 새로운 형태의 '그룹'을 불편하고 기괴한 비주얼로 형상화한다. 개인과 집단이 서로를 억압하고 잠식하는 풍경과 그로부터 비롯된 서늘한 공포는 바로 지금 이 시대만이 가질 수 있는 감각이다. 27회 BIFAN에서 데뷔작 <모두의 행복을 위해>로 멜리에스국제영화제연맹(MIFF) 아시아 영화상을 수상하며 주목받은 감독은 특유의 예리한 감각과 묵직한 메시지로 다시 한번 시선을 사로잡는다. (이정엽)"
7,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8007&sc_category_seq=8017&sc_num=1&actEvent=view,리덕스 리덕스,Redux Redux,"케빈 맥매너스, 매튜 맥매너스",USA,2025,109min,19+,https://youtu.be/dzDYdSfGYWk,"SF, 사이코패스, 액션, 스릴러, 블랙 코미디","연쇄살인범 네빌에게 사랑하는 딸 안나를 잃은 아이린. 상실의 고통 속에서 그녀는 시간여행 장치를 손에 넣고, 다중 우주를 넘나들며 네빌을 반복적으로 죽이는 방식으로 복수를 감행한다. 그러나 끝없는 살인은 아이린 안에 점점 더 커다란 공허함을 남기고, 어느 날 살해 위기에 처한 가출 소녀 미아를 구하게 되면서 그녀의 여정은 전환점을 맞는다. 아이린은 안나가 돌아오길 바랐던 것처럼, 미아만큼은 반드시 집으로 돌려보내겠다고 결심한다. 복수극이라는 익숙한 장르에 놀라운 신선함을 불어넣은 <리덕스 리덕스>는 매튜 & 케빈 맥매너스 형제 감독의 기발한 상상력이 빛나는 작품이다. 다중 우주, 반복되는 시간, 그리고 정체성의 균열 속에서 복수와 구원의 경계를 탐색하는 이 영화는 고도로 정교하면서도 감정적으로 깊은 여운을 남긴다. 주연을 맡은 미카엘라 맥매너스는 절제된 연기 속에 슬픔과 분노, 연민을 고르게 담아내며 강렬한 인상을 남기고, 실제로 감독 형제의 여동생이기도 한 그녀의 존재감은 영화 전반을 단단히 지탱한다. 머리를 어지럽게 만드는 복수의 구조 속에서도 영화는 단순한 고통의 재현이 아닌, 연결과 회복의 서사로 나아간다. 쉽사리 잊히지 않는 감정의 충격파, 그리고 장르적 쾌감이 결합된 이 독특한 SF 스릴러는 오래도록 관객의 기억 속에 남을 것이다. (남종석)"
8,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8008&sc_category_seq=8017&sc_num=1&actEvent=view,리플렉션,Reflection in a Dead Diamond,"브루노 포르자니, 엘렌 카테","Belgium, Luxembourg, Italy, France",2025,87min,19+,https://youtu.be/_i5KThhT4b8,"액션, 누드, 성기노출, 걸 파워","남프랑스 코트 다쥐르의 고급 호텔에서 우아한 일상을 이어가는 70대 노인 존 D. 그는 음모와 약속, 갈등과 글래머로 가득한 1960년대 전 세계를 누비며 활동하던 전직 스파이다. 한가롭게 해변의 산책과 햇살을 즐기던 그의 옆방 투숙객으로 등장한 한 여성이 그의 눈길을 사로잡고, 어느 날 그녀가 갑자기 흔적도 없이 사라지면서 존은 익숙한 두려움을 느끼며 과거 속으로 돌아가게 되는데… <리플렉션>은 1962년 007 시리즈의 신호탄이었던 <닥터 노> 이후, 6,70년대 유럽에서 유행했던 유로스파이 장르에 대한 아트하우스 스타일의 열정적인 오마쥬다. 은퇴한 노인 존이 맞닥뜨리는 플래시백은 관객들을 유로스파이 장르의 다양한 순간들과 쾌감으로 안내하는 영화적인 터널이 되어 우리의 눈과 귀를 사로잡는다. 현실과 판타지의 경계를 오가는 독특한 스타일로 각광받는 엘렌 카테와 브루노 포르자니 콤비의 시네필적 애정이 장면 곳곳에 넘쳐흐른다. (박진형)"
9,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8009&sc_category_seq=8017&sc_num=1&actEvent=view,투게더,Together,마이클 섕크스,"USA, Australia",2025,102min,19+,https://youtu.be/k3rnqxXIJig?si=KVzoy6NmjA6eI2eh,"섹스, SF, 누드, 변신, 블랙 코미디","뮤지션 팀과 성공한 교사 밀리, 30대 중반의 이 커플은 10년 넘게 함께해왔지만 여전히 다음 단계로 나아가길 망설이고 있다. 새로운 출발을 꿈꾸며 시골로 이사한 두 사람은 예상보다 깊은 갈등에 직면하고, 관계는 점점 벼랑 끝으로 치닫는다. 그러던 어느 날, 하이킹 도중 마주한 초자연적 사건은 이들의 삶과 몸에 극단적인 변화를 일으키고, 커플은 그 어떤 관계에서도 경험한 적 없는 기이한 상황들과 마주하게 된다. <투게더>는 마이클 섕크스 감독의 장편 데뷔작으로, 실제 부부인 데이브 프랭코와 알리슨 브리가 주연과 제작을 함께 맡아 현실적이면서도 과장된 커플 드라마를 완성했다. 과도하게 얽히고 설킨 관계의 민낯을 그로테스크한 상상력으로 풀어낸 이 작품은, 두 배우의 탁월한 호흡과 적재적소에 배치된 유머 감각으로 독특한 서스펜스를 형성한다. 전개는 비교적 예측 가능하지만, 그 끝을 향해 나아가는 여정은 상상 이상의 방향으로 흘러가며 보는 이의 긴장감과 흥미를 놓지 않는다. 사랑과 정체성, 공포와 유머가 기묘하게 교차하는 이 비범한 커플 영화는, 한 관계가 얼마나 낯설고 기괴한 차원으로까지 변형될 수 있는지를 흥미롭게 탐색한다. 이 영화는 제목 그대로, 끝까지 함께할 수 있을지에 대한 실험이다. (남종석)"
10,Bucheon,부천 초이스,https://www.bifan.kr/program/program_view.asp?pk_seq=8010&sc_category_seq=8017&sc_num=1&actEvent=view,어글리 시스터,The Ugly Stepsister,에밀리 블리치펠트,"Norway, Sweden, Poland, Denmark",2025,110min,19+,https://www.youtube.com/watch?v=1FcA6zXyLoY,"변신, 하드고어, 로맨스, 블랙 코미디","결혼으로 출세하는 성공 로맨스의 가장 대중적인 캐릭터인 신데렐라는 다양한 판본으로 전 세계 소녀들의 마음을 사로잡아왔다. 타고난 미모와 선한 성품으로 왕자와 결혼하는 신데렐라 옆에서 계모와 의붓언니들은 못생기고 간계한 빌런일 뿐이다. 데뷔작 <어글리 시스터>로 단번에 장르 영화계의 신데렐라로 떠오른 에밀리 블리치펠트는 영화의 시작을 그림 형제의 원작 동화에서 구두에 발을 맞추기 위해 발가락을 잘라내는 의붓언니의 장면에서 떠올린다. 온갖 성형시술과 공포스러운 다이어트까지 감행해가며 왕자의 눈에 띄려는 엘비라의 고분분투를 감아내면서, 영화는 여성에 대한 가장 강력한 역사적 억압이었던 아름다운 몸이라는 사회적 이상을 고어리한 환상 동화와 보디 호러 양식의 기발한 혼합을 통해 비판한다. 각자의 욕망을 향해 돌진하는 여자들 뒤에 선 남자들은 무력하거나 야비하거나 혹은 영화 속의 왕자처럼 저속하기 짝이 없다. 엘비라 역을 맡은 레아 미렌의 얼굴은 유럽 시대극의 화려한 이미지와 그 안에서 거침없이 훼손되는 신체의 기괴한 이미지의 충돌을 고스란히 담아내며 영화의 독특한 매혹을 선사한다. (박진형)"
